0
age
shbg
height
age_bmi
testosterone
weight
smoking
estradiol
physical_activity
hot_flashes
sleep_disturbance
mood_swings
anxiety
night_sweats
cycle_length
flow_duration
fsh_estradiol_ratio
fsh_testosterone_ratio
bmi
